,Code_commune,COM,long,lat
3031,07238,Saint-Genest-de-Beauzon,4.1881,44.4431
3032,07238,Saint-Genest-de-Beauzon,4.1881,44.4431
3033,07239,Saint-Genest-Lachamp,4.422978,44.846942999999996
3034,07239,Saint-Genest-Lachamp,4.422978,44.846942999999996
3035,07240,Saint-Georges-les-Bains,4.808954,44.859794
3036,07240,Saint-Georges-les-Bains,4.808954,44.859794
3037,07241,Saint-Germain,4.448157,44.553464
3038,07241,Saint-Germain,4.448157,44.553464
3039,07242,Saint-Gineis-en-Coiron,4.531833,44.633148999999996
3040,07243,Saint-Jacques-d'Atticieux,4.667315,45.333911
3041,07243,Saint-Jacques-d'Atticieux,4.667315,45.333911
3042,07244,Saint-Jean-Chambre,4.564471,44.90338
3043,07244,Saint-Jean-Chambre,4.564471,44.90338
3044,07245,Saint-Jean-de-Muzols,4.811553,45.075694
3045,07245,Saint-Jean-de-Muzols,4.811553,45.075694
3046,07247,Saint-Jean-le-Centenier,4.535237,44.591757
3047,07247,Saint-Jean-le-Centenier,4.535237,44.591757
3048,07248,Saint-Jean-Roure,4.429068,44.94208
3049,07248,Saint-Jean-Roure,4.429068,44.94208
3050,07249,Saint-Jeure-d'Andaure,4.4578739999999994,45.046648
3051,07249,Saint-Jeure-d'Andaure,4.4578739999999994,45.046648
3052,07250,Saint-Jeure-d'Ay,4.707332,45.146546
3053,07250,Saint-Jeure-d'Ay,4.707332,45.146546
3054,07251,Saint-Joseph-des-Bancs,4.4122769,44.73619
3055,07251,Saint-Joseph-des-Bancs,4.4122769,44.73619
3056,07253,Saint-Julien-du-Gua,4.443796,44.768702000000005
3057,07253,Saint-Julien-du-Gua,4.443796,44.768702000000005
3058,07254,Saint-Julien-du-Serre,4.4116,44.654841999999995
3059,07254,Saint-Julien-du-Serre,4.4116,44.654841999999995
3060,07255,Saint-Julien-en-Saint-Alban,4.69749,44.754422999999996
3061,07257,Saint-Julien-le-Roux,4.681328,44.867028999999995
3062,07257,Saint-Julien-le-Roux,4.681328,44.867028999999995
3063,07258,Saint-Julien-Vocance,4.5045529,45.176318
3064,07258,Saint-Julien-Vocance,4.5045529,45.176318
3065,07259,Saint-Just-d'Ardèche,4.612811,44.303144
3066,07259,Saint-Just-d'Ardèche,4.612811,44.303144
3067,07260,Saint-Lager-Bressac,4.709518,44.692485
3068,07260,Saint-Lager-Bressac,4.709518,44.692485
3069,07261,Saint-Laurent-du-Pape,4.7651449999999995,44.822392
3070,07261,Saint-Laurent-du-Pape,4.7651449999999995,44.822392
3071,07262,Saint-Laurent-les-Bains-Laval-d'Aurelle,3.9706,44.606854
3072,07262,Saint-Laurent-les-Bains-Laval-d'Aurelle,3.9706,44.606854
3073,07263,Saint-Laurent-sous-Coiron,4.481598,44.637476899999996
3074,07264,Saint-Marcel-d'Ardèche,4.617187,44.327405999999996
3075,07264,Saint-Marcel-d'Ardèche,4.617187,44.327405999999996
3076,07265,Saint-Marcel-lès-Annonay,4.6271129,45.285201
3077,07265,Saint-Marcel-lès-Annonay,4.6271129,45.285201
3078,07266,Sainte-Marguerite-Lafigère,3.988889,44.478611
3079,07266,Sainte-Marguerite-Lafigère,3.988889,44.478611
3080,07267,Saint-Martial,4.274846,44.865449
3081,07267,Saint-Martial,4.274846,44.865449
3082,07268,Saint-Martin-d'Ardèche,4.566242,44.302341
3083,07268,Saint-Martin-d'Ardèche,4.566242,44.302341
3084,07269,Saint-Martin-de-Valamas,4.3683759,44.937028999999995
3085,07270,Saint-Martin-sur-Lavezon,4.656344,44.636373999999996
3086,07270,Saint-Martin-sur-Lavezon,4.656344,44.636373999999996
3087,07272,Saint-Maurice-d'Ardèche,4.399666000000001,44.521594
3088,07272,Saint-Maurice-d'Ardèche,4.399666000000001,44.521594
3089,07273,Saint-Maurice-d'Ibie,4.484154,44.500462
3090,07274,Saint-Maurice-en-Chalencon,4.590617,44.848807
3091,07274,Saint-Maurice-en-Chalencon,4.590617,44.848807
3092,07275,Saint-Mélany,4.117343,44.5299679
3093,07275,Saint-Mélany,4.117343,44.5299679
3094,07276,Saint-Michel-d'Aurance,4.459990900000001,44.902034
3095,07276,Saint-Michel-d'Aurance,4.459990900000001,44.902034
3096,07277,Saint-Michel-de-Boulogne,4.433438,44.695527
3097,07277,Saint-Michel-de-Boulogne,4.433438,44.695527
3098,07278,Saint-Michel-de-Chabrillanoux,4.602499,44.838279
3099,07278,Saint-Michel-de-Chabrillanoux,4.602499,44.838279
3100,07279,Saint-Montan,4.623595,44.440076
3101,07279,Saint-Montan,4.623595,44.440076
3102,07280,Saint-Paul-le-Jeune,4.151281,44.340084000000004
3103,07280,Saint-Paul-le-Jeune,4.151281,44.340084000000004
3104,07281,Saint-Péray,4.841903,44.944815999999996
3105,07281,Saint-Péray,4.841903,44.944815999999996
3106,07282,Saint-Pierre-de-Colombier,4.261393,44.704361
3107,07284,Saint-Pierre-Saint-Jean,4.1078,44.4583
3108,07284,Saint-Pierre-Saint-Jean,4.1078,44.4583
3109,07285,Saint-Pierre-sur-Doux,4.464551999999999,45.121128000000006
3110,07285,Saint-Pierre-sur-Doux,4.464551999999999,45.121128000000006
3111,07286,Saint-Pierreville,4.4880949999999995,44.815201
3112,07287,Saint-Pons,4.574897,44.593585
3113,07287,Saint-Pons,4.574897,44.593585
3114,07288,Saint-Priest,4.546028,44.716549
3115,07288,Saint-Priest,4.546028,44.716549
3116,07289,Saint-Privat,4.410203,44.629353
3117,07289,Saint-Privat,4.410203,44.629353
3118,07290,Saint-Prix,4.500013,44.942603999999996
3119,07290,Saint-Prix,4.500013,44.942603999999996
3120,07291,Saint-Remèze,4.501187,44.391688
3121,07291,Saint-Remèze,4.501187,44.391688
3122,07292,Saint-Romain-d'Ay,4.665943,45.166995
3123,07293,Saint-Romain-de-Lerps,4.7997,44.978007
3124,07293,Saint-Romain-de-Lerps,4.7997,44.978007
3125,07294,Saint-Sauveur-de-Cruzières,4.253008,44.298971
3126,07294,Saint-Sauveur-de-Cruzières,4.253008,44.298971
3127,07295,Saint-Sauveur-de-Montagut,4.580015,44.821957
3128,07295,Saint-Sauveur-de-Montagut,4.580015,44.821957
3129,07296,Saint-Sernin,4.3916129999999995,44.573051899999996
3130,07296,Saint-Sernin,4.3916129999999995,44.573051899999996
3131,07297,Saint-Sylvestre,4.750881,44.991366
